real,user,sys
1.107,7.047,0.016
1.055,6.703,0.016
7,1000,
0.982,5.922,0.172
1.073,6.922,0.063
1.054,6.625,0.109
1.077,6.938,0.109
1.105,7.078,0.078
1.005,6.438,0.156
1.004,6.344,0.172
1.023,6.422,0.141
1.032,6.438,0.172
0.986,6.359,0.016
7,10000,
1.036,6.703,0.000
1.048,6.641,0.000
1.049,6.984,0.000
1.006,6.484,0.000
1.158,7.328,0.000
1.053,6.766,0.000
1.015,6.547,0.000
1.100,7.141,0.016
1.091,6.969,0.016
1.085,7.016,0.016
7,100000,
1.040,6.578,0.016
1.061,6.734,0.016
1.043,6.797,0.000
1.078,6.938,0.016
1.092,6.922,0.016
1.007,6.359,0.047
1.004,6.422,0.016
1.049,6.828,0.016
1.041,6.859,0.000
1.038,6.750,0.000
7,1000000,
1.060,6.906,0.000
1.104,7.156,0.000
1.105,7.016,0.000
1.057,6.750,0.000
1.101,7.109,0.016
1.109,7.188,0.000
1.106,7.109,0.000
1.107,7.000,0.000
1.072,6.781,0.016
1.046,6.828,0.031
7,10000000,
1.130,7.141,0.000
1.060,6.813,0.000
1.115,7.188,0.000
1.018,6.594,0.000
1.078,7.000,0.000
1.061,6.797,0.016
1.118,7.172,0.047
1.050,6.875,0.000
1.088,6.891,0.016
1.094,6.969,0.031
7,100000000,
1.098,7.047,0.016
1.039,6.750,0.000
1.150,7.438,0.000
1.078,6.906,0.000
1.050,6.828,0.000
1.101,7.125,0.000
1.074,6.953,0.031
1.026,6.469,0.000
1.139,7.234,0.000
1.074,7.031,0.000
8,1,
3.121,6.109,17.734
2.987,6.172,16.484
3.058,5.969,17.438
3.079,5.906,17.422
3.145,6.250,17.563
3.142,6.078,17.734
3.145,6.281,17.656
3.077,6.281,17.297
3.096,6.328,17.141
3.003,6.297,16.156
8,10,
1.071,5.672,1.375
1.042,5.734,1.500
1.089,6.344,1.328
1.091,6.734,1.109
1.103,6.219,1.547
1.094,6.359,1.484
1.086,6.094,1.438
1.085,6.578,0.938
1.093,6.547,1.094
1.167,6.656,1.375
8,100,
0.964,6.625,0.016
1.036,7.344,0.063
0.970,7.141,0.031
1.010,7.281,0.016
0.967,7.000,0.031
1.028,7.469,0.016
0.976,7.094,0.000
1.034,7.641,0.000
1.031,7.641,0.000
0.961,6.922,0.016
8,1000,
1.013,7.297,0.000
1.061,7.891,0.000
1.032,7.672,0.000
0.960,6.813,0.031
0.977,7.141,0.000
0.869,5.391,0.125
0.961,7.016,0.000
0.916,6.672,0.031
1.041,7.422,0.000
1.005,7.344,0.000
8,10000,
1.066,7.859,0.016
0.989,7.344,0.000
0.979,7.078,0.031
1.060,7.563,0.031
1.057,7.813,0.031
1.052,7.781,0.000
0.971,7.000,0.016
1.077,7.703,0.016
1.050,7.625,0.016
1.014,7.484,0.031
8,100000,
0.996,7.313,0.000
1.014,7.344,0.016
1.049,7.813,0.016
0.949,6.938,0.016
0.941,6.984,0.047
0.945,6.641,0.000
0.988,7.281,0.000
0.976,7.141,0.016
1.046,7.625,0.016
0.973,7.188,0.016
8,1000000,
1.031,7.625,0.016
0.988,7.344,0.000
1.061,7.734,0.016
0.991,7.344,0.000
1.009,7.266,0.016
1.001,7.359,0.000
1.013,7.281,0.000
1.001,7.313,0.016
0.944,6.969,0.000
1.000,7.281,0.016
8,10000000,
0.995,7.359,0.016
0.987,7.266,0.000
1.018,7.531,0.000
1.015,7.375,0.031
1.061,7.875,0.000
1.056,7.844,0.000
1.085,7.859,0.000
0.951,6.859,0.000
0.985,7.109,0.000
0.995,7.266,0.000
8,100000000,
1.039,7.391,0.016
1.026,7.484,0.016
0.999,7.297,0.000
1.020,7.563,0.016
0.982,7.156,0.031
1.009,7.453,0.000
1.027,7.641,0.000
1.081,7.906,0.016
0.982,7.141,0.000
0.971,7.156,0.000
9,1,
3.008,6.297,16.438
3.075,5.484,18.234
2.987,6.094,16.719
3.118,6.281,17.625
3.045,5.641,17.563
3.108,6.359,17.172
3.050,5.969,16.891
2.872,5.516,15.172
2.875,5.578,15.859
2.783,5.391,14.375
9,10,
1.091,6.547,1.516
1.030,6.047,1.406
1.100,6.578,1.516
1.079,5.953,1.797
1.093,6.578,1.391
1.108,6.953,1.250
1.089,6.891,1.344
1.029,6.125,1.516
1.083,6.625,1.406
1.022,5.859,1.734
9,100,
0.906,6.469,0.016
1.030,7.094,0.016
0.849,6.234,0.016
0.848,5.984,0.016
0.891,6.453,0.000
0.952,6.953,0.000
0.956,6.875,0.047
0.960,6.922,0.000
0.986,7.250,0.016
0.899,6.281,0.000
9,1000,
0.965,6.797,0.016
0.861,6.359,0.016
1.014,6.953,0.031
0.884,6.500,0.000
0.940,6.734,0.016
0.902,6.703,0.000
0.920,6.578,0.000
0.976,7.000,0.016
0.996,7.344,0.000
0.971,6.875,0.000
9,10000,
0.931,6.484,0.000
0.867,6.438,0.000
0.959,7.031,0.016
0.954,7.141,0.016
0.954,6.875,0.000
0.874,6.375,0.000
0.988,7.078,0.016
0.967,7.094,0.000
0.877,6.375,0.000
0.940,6.766,0.000
9,100000,
0.954,6.953,0.016
0.891,6.438,0.000
0.837,6.063,0.000
0.998,7.016,0.000
0.849,6.031,0.000
0.919,6.578,0.031
0.964,6.641,0.000
1.023,7.141,0.000
0.854,6.172,0.000
0.980,7.063,0.016
9,1000000,
0.883,6.281,0.000
1.028,7.359,0.016
0.998,7.297,0.016
0.954,6.813,0.000
